,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Pisco,35,PE,1577509221,88,-13.71,-76.2,70.0,11.41
1,Carora,100,VE,1577509221,89,10.17,-70.08,68.88,0.31
2,Yenagoa,99,NG,1577509221,94,4.92,6.26,74.79,3.11
3,Cherskiy,0,RU,1577509221,89,68.75,161.3,-21.21,9.37
4,Mendoza,0,AR,1577509221,48,-32.89,-68.84,84.2,4.7
5,Nantucket,1,US,1577509078,93,41.28,-70.1,48.2,16.11
6,Castro,10,CL,1577509221,100,-42.48,-73.76,48.2,4.7
7,Rawson,23,AR,1577509222,52,-43.3,-65.11,63.72,16.75
8,Mahibadhoo,0,MV,1577509222,78,3.78,72.97,81.93,14.32
9,Oktyabrskiy,90,RU,1577509222,86,55.61,37.97,30.2,6.71
10,Severo-Kurilsk,100,RU,1577509222,98,50.68,156.12,27.72,6.4
11,Hithadhoo,100,MV,1577509222,82,-0.6,73.08,81.72,12.28
12,Saskylakh,96,RU,1577509222,95,71.97,114.09,-30.86,5.73
13,Zatoka,75,PL,1577509222,81,50.04,20.52,35.01,10.29
14,Iqaluit,90,CA,1577509213,77,63.75,-68.52,-0.4,21.92
15,Mataura,84,NZ,1577509222,79,-46.19,168.86,52.0,15.01
16,Puerto Ayora,53,EC,1577509223,89,-0.74,-90.35,73.99,5.01
17,Cape Town,0,ZA,1577509208,29,-33.93,18.42,66.0,6.67
18,Laguna,49,BZ,1577508987,94,16.17,-88.94,68.59,1.77
19,Tilichiki,18,RU,1577509223,92,60.47,166.1,-20.7,10.2
20,Hilo,90,US,1577509223,78,19.71,-155.08,78.8,3.36
21,Hermanus,0,ZA,1577509223,81,-34.42,19.24,62.01,11.99
22,Georgetown,20,GY,1577509223,100,6.8,-58.16,77.0,4.7
23,Jamestown,80,AU,1577509223,15,-33.21,138.6,98.74,10.85
24,Calamar,43,CO,1577509224,90,1.96,-72.65,72.88,1.88
25,Cidreira,21,BR,1577509224,89,-30.17,-50.22,73.62,27.2
26,Quatre Cocos,40,MU,1577509224,74,-20.21,57.76,82.4,12.75
27,Dicabisagan,21,PH,1577509224,79,17.08,122.42,79.84,5.37
28,Rikitea,79,PF,1577509224,88,-23.12,-134.97,76.86,9.66
29,Ushuaia,40,AR,1577509224,70,-54.81,-68.31,48.2,18.34
30,Upernavik,5,GL,1577509224,59,72.79,-56.15,-1.53,3.49
31,Butaritari,100,KI,1577509224,77,3.07,172.79,83.93,14.63
32,Atuona,21,PF,1577509225,76,-9.8,-139.03,81.3,15.17
33,Port Alfred,45,ZA,1577509225,76,-33.59,26.89,66.0,16.44
34,New Norfolk,42,AU,1577509225,46,-42.78,147.06,86.0,17.22
35,Bud,100,NO,1577509225,63,62.91,6.91,46.4,6.93
36,Busselton,0,AU,1577509225,29,-33.64,115.35,84.99,16.91
37,Severodvinsk,14,RU,1577509225,91,64.56,39.82,1.4,0.81
38,Hobart,32,AU,1577509025,46,-42.88,147.33,86.0,17.22
39,Barrow,14,AR,1577509226,82,-38.31,-60.23,72.99,2.73
40,Kupang,40,ID,1577509226,70,-10.16,123.6,87.8,12.75
41,San Juan Bautista,23,PY,1577509226,74,-26.67,-57.15,76.55,3.8
42,Khatanga,99,RU,1577509226,98,71.98,102.47,-29.61,6.82
43,Arona,0,IT,1577509226,100,45.76,8.56,39.0,8.05
44,Sitka,100,US,1577509226,97,37.17,-99.65,45.14,15.35
45,Ganzhou,0,CN,1577509226,35,25.86,114.93,64.31,1.21
46,Tura,42,RU,1577509227,91,64.27,100.22,-26.73,5.17
47,Cabedelo,20,BR,1577509227,83,-6.97,-34.84,75.2,5.82
48,Lorengau,68,PG,1577509227,75,-2.02,147.27,82.09,11.25
49,Morgan Hill,1,US,1577509227,80,37.13,-121.65,48.2,1.36
50,Dapaong,0,TG,1577509227,23,10.86,0.2,67.15,9.95
51,San Patricio,13,PY,1577509227,68,-26.98,-56.83,77.76,6.04
52,Port-Gentil,68,GA,1577509227,80,-0.72,8.78,80.53,3.89
53,Vaini,20,IN,1577509228,78,15.34,74.49,77.0,6.93
54,Faanui,86,PF,1577509228,76,-16.48,-151.75,80.28,18.59
55,Rundu,100,NA,1577509228,94,-17.91,19.77,69.8,3.36
56,Torbay,75,CA,1577509228,85,47.66,-52.73,21.99,3.36
57,Margate,32,AU,1577509228,46,-43.03,147.26,86.0,17.22
58,Tasiilaq,100,GL,1577509228,68,65.61,-37.64,30.2,31.09
59,Bredasdorp,55,ZA,1577509228,77,-34.53,20.04,62.01,10.29
60,Corn Island,9,NI,1577509228,81,12.17,-83.04,80.53,18.99
61,Keta,20,GH,1577509228,88,5.92,0.99,77.0,2.24
62,Pacific Grove,1,US,1577509229,80,36.62,-121.92,48.99,5.64
63,Cabo San Lucas,75,MX,1577509229,72,22.89,-109.91,68.0,8.05
64,Geraldton,5,CA,1577509229,85,49.72,-86.95,19.4,10.29
65,Omboue,93,GA,1577509229,92,-1.57,9.26,75.85,0.29
66,Ewa Beach,40,US,1577509229,88,21.32,-158.01,78.8,13.87
67,Port Hardy,90,CA,1577509215,87,50.7,-127.42,42.8,19.46
68,Arraial do Cabo,0,BR,1577509229,88,-22.97,-42.02,75.42,15.19
69,Lata,0,IN,1577509229,16,30.78,78.62,31.98,5.44
70,Richards Bay,100,ZA,1577509229,73,-28.77,32.06,71.19,14.43
71,Buraydah,0,SA,1577509230,87,26.33,43.97,44.6,4.7
72,Peniche,0,PT,1577509230,81,39.36,-9.38,57.99,4.7
73,Shevchenkove,90,UA,1577509230,100,49.7,37.18,37.4,2.24
74,Berlevag,100,NO,1577509230,78,70.86,29.09,26.53,29.46
75,Kieta,9,PG,1577509230,62,-6.22,155.63,84.15,3.06
